"PackageIdentifier","ManifestValue","ManifestKey","RemoveLabel"
"OliverSchwendener.ueli","github.com","InstallerUrl","URL-Validation-Error"
"OpenSourcePhysics.Tracker","physlets.org","InstallerUrl","Validation-Domain"
"Orica.SHOTPlus","downloads.blastiq.com","InstallerUrl","Validation-Domain"
"Orica.SHOTPlus.Tunnel","downloads.blastiq.com","InstallerUrl","Validation-Domain"
"Orica.SHOTPlus.Underground","downloads.blastiq.com","InstallerUrl","Validation-Domain"
"OSGeo.QGIS_LTR","qgis.org","InstallerUrl","URL-Validation-Error"
"OWASP.ThreatDragon","OWASP.ThreatDragon","PackageIdentifier","Policy-Test-2.8"
"paolosalvatori.ServiceBusExplorer","paolosalvatori.ServiceBusExplorer","PackageIdentifier","Policy-Test-2.7"
"PCTI.OrphanRehomer.Scotland","apps.docman.com","InstallerUrl","Validation-Domain"
"Pexip.Pexip.Service","static.videxio.net","InstallerUrl","Validation-Domain"
"Philips.SmartControl","gz-dlsw.tpv-tech.com","InstallerUrl","Validation-Domain"
"Philips.SpeechLive","speech-desktop-app-update.speech.com","InstallerUrl","Validation-Domain"
"Philips.SpeechLive.MSI","speech-desktop-app-update.speech.com","InstallerUrl","Validation-Domain"
"Pinnacle21.Pinnacle21.Community","dthfq9xldm1jq.cloudfront.net","InstallerUrl","Validation-Domain"
"Piriform.CCleaner.Slim","bits.avcdn.net","InstallerUrl","Validation-Domain"
"pljones.s3pe","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"PostgreSQL.PostgreSQL.13","get.enterprisedb.com","InstallerUrl","Validation-Domain"
"PostgreSQL.PostgreSQL.14","get.enterprisedb.com","InstallerUrl","Validation-Domain"
"PostgreSQL.PostgreSQL.15","get.enterprisedb.com","InstallerUrl","Validation-Domain"
"PostgreSQL.PostgreSQL.17","get.enterprisedb.com","InstallerUrl","Validation-Domain"
"ProjectLibre.ProjectLibre","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Psi.Psi","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"PulseHD.PulseHD","storage.googleapis.com","InstallerUrl","Validation-Domain"
"Qingfeng.HeyboxChat","macc.max-c.com","InstallerUrl","Validation-Domain"
"RaisingTheFloor.Morphic","d23vryjv7k8eyb.cloudfront.net","InstallerUrl","Validation-Domain"
"Rakuten.Viber","Rakuten.Viber","PackageIdentifier","Policy-Test-2.5"
"RayHinchliffe.SIV","delivery2.filecroco.com","InstallerUrl","Validation-Domain"
"RedisInsight.RedisInsight","s3.amazonaws.com","InstallerUrl","Validation-Domain"
"RHash.RHash","downloads.sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Ringler.SnapformViewer","mirror1.steuersoftware.ch","InstallerUrl","Validation-Domain"
"RoxyBrowser.RoxyBrowser","lumibrowser-hk.oss-cn-hongkong.aliyuncs.com","InstallerUrl","Validation-Domain"
"RystadEnergy.CubeBrowser","RystadEnergy.CubeBrowser","PackageIdentifier","Validation-Domain"
"Schrodinger.PyMOL","storage.googleapis.com","InstallerUrl","Validation-Domain"
"Seafile.Seadrive","s3.eu-central-1.amazonaws.com","InstallerUrl","Validation-domain"
"Shemeshg.MidiRouterClient","downloads.sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"ShiningLight.OpenSSL","slproweb.com","InstallerUrl","Validation-Domain"
"ShiningLight.OpenSSL.Dev","slproweb.com","InstallerUrl","Validation-Domain"
"SignerLabs.Klee.CPU ","dvnr1hi9fanyr.cloudfront.net","InstallerUrl","Validation-Domain"
"SignerLabs.Klee.CUDA","dvnr1hi9fanyr.cloudfront.net","InstallerUrl","Validation-Domain"
"SimpleTex.SimpleTex","gitee.com","InstallerUrl","Validation-Domain"
"sixspot.freescan","drive.google.com","InstallerUrl","Validation-Domain"
"Slite.Slite","download.todesktop.com","InstallerUrl","Validation-Domain"
"SmartBear.ReadyAPI","dl.eviware.com","InstallerUrl","Validation-Domain"
"SmartBear.ReadyAPILoadUIAgent","dl.eviware.com","InstallerUrl","Validation-Domain"
"SmartBear.ReadyAPIVirtServer","dl.eviware.com","InstallerUrl","Validation-Domain"
"Snowflake.SnowflakeCLI","Snowflake.SnowflakeCLI","PackageIdentifier","Policy-Test-2.7"
"Softpcapps.MaximizeAlways","www.4dots-software.com","InstallerUrl","Validation-Domain"
"Solidigm.StorageTool","sdmsdfwdriver.blob.core.windows.net","InstallerUrl","Validation-Domain"
"Sony.XperiaCompanion","Sony.XperiaCompanion","PackageIdentifier","Policy-Test-1.2"
"SouthRiverTechnologies.WebDrive","srtcdnstorage.blob.core.windows.net","InstallerUrl","Validation-Domain"
"Sparkol.VideoScribe","s3.amazonaws.com","InstallerUrl","Validation-Domain"
"Steady.Steady","download.todesktop.com","InstallerUrl","Validation-Domain"
"Stevenaaus.ScidvsPC","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"StevenMayall.MusicBee","StevenMayall.MusicBee","PackageIdentifier","Validation-No-Executables"
"Summa.ColigoConnectConfigurationTool","downloadcloudcti.blob.core.windows.net","InstallerUrl","Validation-Domain"
"Summay.Sunsama","download.todesktop.com","InstallerUrl","Validation-Domain"
"SURF.LetsConnectClient","codeberg.org","InstallerUrl","Validation-Domain"
"Surfshark.Surfshark","Surfshark.Surfshark","PackageIdentifier","Policy-Test-2.3"
"SUSE.openSUSE.Leap.15.6","publicwsldistros.blob.core.windows.net","InstallerUrl","Validation-Domain"
"SUSE.openSUSE.Tumbleweed","publicwsldistros.blob.core.windows.net","InstallerUrl","Validation-Domain"
"SUSE.SUSE.15SP6","publicwsldistros.blob.core.windows.net","InstallerUrl","Validation-Domain"
"SylvainRougeaux.Echosync","api.luminescence-software.org","InstallerUrl","Validation-Domain"
"SylvainRougeaux.Metatogger","api.luminescence-software.org","InstallerUrl","Validation-Domain"
"SyncTERM.SyncTERM","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Tandem.Tandem","download.todesktop.com","InstallerUrl","Validation-Domain"
"TASKING.winIDEA","www.isystem.com","InstallerUrl","Validation-Domain"
"Technelysium.Chromas","Technelysium.Chromas","PackageIdentifier","Policy-Test-1.8"
"Technelysium.Chromas.Pro","Technelysium.Chromas.Pro","PackageIdentifier","Policy-Test-1.8"
"Tencent.FanLive","d3g.qq.com","InstallerUrl","Validation-Domain"
"Tencent.ima-copilot","ima-app.image.myqcloud.com","InstallerUrl","Validation-Domain"
"Thales.SafeNetAuthenticationClient","www.digicert.com","InstallerUrl","Validation-Domain"
"TheBlind.T-Shell","gitee.com","InstallerUrl","Validation-Domain"
"tibbo.ioninja","tibbo.ioninja","PackageIdentifier","Policy-Test-2.5"
"TigerVNC.TigerVNC","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"TORTUSAI.TORTUS","storage.googleapis.com","InstallerUrl","Validation-Domain"
"Trimble.SketchUpViewer","Trimble.SketchUpViewer","PackageIdentifier","Policy-Test-1.2"
"Typst.Typst","Typst.Typst","PackageIdentifier","Policy-Test-1.2"
"Ubiquiti.IdentityDesktop.Endpoint","fw-download.ubnt.com","InstallerUrl","Validation-Domain"
"Ubiquiti.IdentityDesktop.Enterprise","fw-download.ubnt.com","InstallerUrl","Validation-Domain"
"Ubiquiti.UniFiNetworkServer","dl.ui.com","InstallerUrl","Validation-Domain"
"Ubisoft.Chroma","raw.githubusercontent.com","InstallerUrl","Validation-Domain"
"Ubisoft.Connect","static3.cdn.ubi.com","InstallerUrl","Validation-Domain"
"undergroundwires.privacy.sexy","undergroundwires.privacy.sexy","PackageIdentifier","Policy-Test-2.7"
"UweSieber.ComPortInfo","UweSieber.ComPortInfo","PackageIdentifier","Policy-Test-2.7"
"UweSieber.ComPortInfo","UweSieber.ComPortInfo","PackageIdentifier","Policy-Test-1.2"
"UweSieber.UsbDriveInfo","UweSieber.UsbDriveInfo","PackageIdentifier","Policy-Test-2.7"
"Vector35.BinaryNinja","Vector35.BinaryNinja","PackageIdentifier","Policy-Test-2.5"
"Wagnardsoft.DisplayDriverUninstaller","Wagnardsoft.DisplayDriverUninstaller","PackageIdentifier","Validation-No-Executables"
"wanou067.MazeLauncher","mazecity.eu","InstallerUrl","Validation-Domain"
"WesternDigital.Kitfox","downloads.wdc.com","InstallerUrl","Validation-Domain"
"WetOtter44.StrawberryMusicPlayer.MinGW","codeberg.org","InstallerUrl","Validation-Domain"
"WetOtter44.StrawberryMusicPlayer.MSVC","codeberg.org","InstallerUrl","Validation-Domain"
"Wibu-Systems.CodeMeterRuntimeKit","www.wibu.com","InstallerUrl","Validation-Domain"
"WikimediaProject.AutoWikiBrowser","deac-riga.dl.sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"WinEdtTeam.WinEdt","WinEdtTeam.WinEdt","PackageIdentifier","Policy-Test-1.2"
"WinUAE.WinUAE","download.abime.net","InstallerUrl","Validation-Domain"
"WiresharkFoundation.Stratoshark","1.na.dl.wireshark.org","InstallerUrl","Validation-Domain"
"Wondershare.Mockitt.CN","cdn-release.modao.cc","InstallerUrl","Validation-Domain"
"Wondershare.Mockitt.CN","Wondershare.Mockitt.CN","PackageIdentifier","Validation-No-Executables"
"wpdos.PDFtoPrinter","mendelson.org","InstallerUrl","Validation-Domain"
"wpdos.PDFtoPrinter","wpdos.PDFtoPrinter","PackageIdentifier","Policy-Test-2.9"
"Xersin.Sumsie","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Xerxes-2.ClewdR","Xerxes-2.ClewdR","PackageIdentifier","Policy-Test-2.7"
"Xiaocai.MiniCADDraw","clientdown.appol.com","InstallerUrl","Validation-Domain"
"Xiaocai.MiniCADSee","clientdown.appol.com","InstallerUrl","Validation-Domain"
"XnSoft.XnConvert","XnSoft.XnConvert","PackageIdentifier","Policy-Test-1.2"
"XnSoft.XnConvert","download.xnview.com","InstallerUrl","Validation-Domain"
"XnSoft.XnResize","download.xnview.com","InstallerUrl","Validation-Domain"
"XTLS.Xray-core","XTLS.Xray-core","PackageIdentifier","Policy-Test-2.7"
"YABE.YetAnotherBacnetExplorer","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Yealink.YealinkUSBConnect.CN","resource.ymcs.ylcloud.com","InstallerUrl","Validation-Domain"
"Youda008.DoomRunner","Youda008.DoomRunner","PackageIdentifier","Policy-Test-1.2"
"YouXiao.YXFile","zhcy.oss-cn-hangzhou.aliyuncs.com","InstallerUrl","Validation-Domain"
"Yuanfudao.Yuanfudao","apphub.fbcontent.cn","InstallerUrl","Validation-Domain"
"Yubico.YubiKeySmartCardMinidriver","Yubico.YubiKeySmartCardMinidriver","PackageIdentifier","Validation-No-Executables"
"Z-DBackup.Z-Cron","z-download.de","InstallerUrl","Validation-Domain"
"zadjii.ObsidianNotesExtension","zadjii.ObsidianNotesExtension","PackageIdentifier","Policy-Test-2.7"
"zelenkov.WixTrim","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"ZivverB.V.ZivverOfficePlugin","ZivverB.V.ZivverOfficePlugin","PackageIdentifier","Validation-No-Executables"
