"Hex","Dec","InvDec","Symbol","Description"
"000010D6","4310","-4294962986","ERROR_INVALID_CLEANER","The media identifier does not represent a valid cleaner."
"000010D7","4311","-4294962985","ERROR_UNABLE_TO_CLEAN","The drive cannot be cleaned or does not support cleaning."
"000010D8","4312","-4294962984","ERROR_OBJECT_NOT_FOUND","The object identifier does not represent a valid object."
"000010D9","4313","-4294962983","ERROR_DATABASE_FAILURE","Unable to read from or write to the database."
"000010DA","4314","-4294962982","ERROR_DATABASE_FULL","The database is full."
"000010DB","4315","-4294962981","ERROR_MEDIA_INCOMPATIBLE","The medium is not compatible with the device or media pool."
"000010DC","4316","-4294962980","ERROR_RESOURCE_NOT_PRESENT","The resource required for this operation does not exist."
"000010DD","4317","-4294962979","ERROR_INVALID_OPERATION","The operation identifier is not valid."
"000010DE","4318","-4294962978","ERROR_MEDIA_NOT_AVAILABLE","The media is not mounted or ready for use."
"000010DF","4319","-4294962977","ERROR_DEVICE_NOT_AVAILABLE","The device is not ready for use."
"000010E0","4320","-4294962976","ERROR_REQUEST_REFUSED","The operator or administrator has refused the request."
"000010E1","4321","-4294962975","ERROR_INVALID_DRIVE_OBJECT","The drive identifier does not represent a valid drive."
"000010E2","4322","-4294962974","ERROR_LIBRARY_FULL","Library is full. No slot is available for use."
"000010E3","4323","-4294962973","ERROR_MEDIUM_NOT_ACCESSIBLE","The transport cannot access the medium."
"000010E4","4324","-4294962972","ERROR_UNABLE_TO_LOAD_MEDIUM","Unable to load the medium into the drive."
"000010E5","4325","-4294962971","ERROR_UNABLE_TO_INVENTORY_DRIVE","Unable to retrieve the drive status."
"000010E6","4326","-4294962970","ERROR_UNABLE_TO_INVENTORY_SLOT","Unable to retrieve the slot status."
"000010E7","4327","-4294962969","ERROR_UNABLE_TO_INVENTORY_TRANSPORT","Unable to retrieve status about the transport."
"000010E8","4328","-4294962968","ERROR_TRANSPORT_FULL","Cannot use the transport because it is already in use."
"000010E9","4329","-4294962967","ERROR_CONTROLLING_IEPORT","Unable to open or close the inject/eject port."
"000010EA","4330","-4294962966","ERROR_UNABLE_TO_EJECT_MOUNTED_MEDIA","Unable to eject the medium because it is in a drive."
"000010EB","4331","-4294962965","ERROR_CLEANER_SLOT_SET","A cleaner slot is already reserved."
"000010EC","4332","-4294962964","ERROR_CLEANER_SLOT_NOT_SET","A cleaner slot is not reserved."
"000010ED","4333","-4294962963","ERROR_CLEANER_CARTRIDGE_SPENT","The cleaner cartridge has performed the maximum number of drive cleanings."
"000010EE","4334","-4294962962","ERROR_UNEXPECTED_OMID","Unexpected on-medium identifier."
"000010EF","4335","-4294962961","ERROR_CANT_DELETE_LAST_ITEM","The last remaining item in this group or resource cannot be deleted."
"000010F0","4336","-4294962960","ERROR_MESSAGE_EXCEEDS_MAX_SIZE","The message provided exceeds the maximum size allowed for this parameter."
"000010F1","4337","-4294962959","ERROR_VOLUME_CONTAINS_SYS_FILES","The volume contains system or paging files."
"000010F2","4338","-4294962958","ERROR_INDIGENOUS_TYPE","The media type cannot be removed from this library since at least one drive in the library reports it can support this media type."
"000010F3","4339","-4294962957","ERROR_NO_SUPPORTING_DRIVES","This offline media cannot be mounted on this system since no enabled drives are present which can be used."
"000010F4","4340","-4294962956","ERROR_CLEANER_CARTRIDGE_INSTALLED","A cleaner cartridge is present in the tape library."
"000010F5","4341","-4294962955","ERROR_IEPORT_FULL","Cannot use the inject/eject port because it is not empty."
"000010FE","4350","-4294962946","ERROR_FILE_OFFLINE","This file is currently not available for use on this computer."
"000010FF","4351","-4294962945","ERROR_REMOTE_STORAGE_NOT_ACTIVE","The remote storage service is not operational at this time."
"00001100","4352","-4294962944","ERROR_REMOTE_STORAGE_MEDIA_ERROR","The remote storage service encountered a media error."
"00001112","4370","-4294962926","Error_No_Media_In_Drive","No media in drive."
"00001126","4390","-4294962906","ERROR_NOT_A_REPARSE_POINT","The file or directory is not a reparse point."
"00001127","4391","-4294962905","ERROR_REPARSE_ATTRIBUTE_CONFLICT","The reparse point attribute cannot be set because it conflicts with an existing attribute."
"00001128","4392","-4294962904","ERROR_INVALID_REPARSE_DATA","The data present in the reparse point buffer is invalid."
"00001129","4393","-4294962903","ERROR_REPARSE_TAG_INVALID","The tag present in the reparse point buffer is invalid."
"0000112A","4394","-4294962902","ERROR_REPARSE_TAG_MISMATCH","There is a mismatch between the tag specified in the request and the tag present in the reparse point."
"00001130","4400","-4294962896","ERROR_APP_DATA_NOT_FOUND","Fast Cache data not found."
"00001131","4401","-4294962895","ERROR_APP_DATA_EXPIRED","Fast Cache data expired."
"00001132","4402","-4294962894","ERROR_APP_DATA_CORRUPT","Fast Cache data corrupt."
"00001133","4403","-4294962893","ERROR_APP_DATA_LIMIT_EXCEEDED","Fast Cache data has exceeded its max size and cannot be updated."
"00001134","4404","-4294962892","ERROR_APP_DATA_REBOOT_REQUIRED","Fast Cache has been ReArmed and requires a reboot until it can be updated."
"00001144","4420","-4294962876","ERROR_SECUREBOOT_ROLLBACK_DETECTED","Secure Boot detected that rollback of protected data has been attempted."
"00001145","4421","-4294962875","ERROR_SECUREBOOT_POLICY_VIOLATION","The value is protected by Secure Boot policy and cannot be modified or deleted."
"00001146","4422","-4294962874","ERROR_SECUREBOOT_INVALID_POLICY","The Secure Boot policy is invalid."
"00001147","4423","-4294962873","ERROR_SECUREBOOT_POLICY_PUBLISHER_NOT_FOUND","A new Secure Boot policy did not contain the current publisher on its update list."
"00001148","4424","-4294962872","ERROR_SECUREBOOT_POLICY_NOT_SIGNED","The Secure Boot policy is either not signed or is signed by a non-trusted signer."
"00001149","4425","-4294962871","ERROR_SECUREBOOT_NOT_ENABLED","Secure Boot is not enabled on this machine."
"0000114A","4426","-4294962870","ERROR_SECUREBOOT_FILE_REPLACED","Secure Boot requires that certain files and drivers are not replaced by other files or drivers."
"00001158","4440","-4294962856","ERROR_OFFLOAD_READ_FLT_NOT_SUPPORTED","The copy offload read operation is not supported by a filter."
"00001159","4441","-4294962855","ERROR_OFFLOAD_WRITE_FLT_NOT_SUPPORTED","The copy offload write operation is not supported by a filter."
"0000115A","4442","-4294962854","ERROR_OFFLOAD_READ_FILE_NOT_SUPPORTED","The copy offload read operation is not supported for the file."
"0000115B","4443","-4294962853","ERROR_OFFLOAD_WRITE_FILE_NOT_SUPPORTED","The copy offload write operation is not supported for the file."
"0000117A","4474","-4294962822","NULL",""
"00001190","4496","-4294962800","Error_Shutdown_IS_Scheduled","A system shutdown has already been scheduled."
"00001194","4500","-4294962796","ERROR_VOLUME_NOT_SIS_ENABLED","Single Instance Storage is not available on this volume."
"00001234","4660","-4294962636","Error_Port_Unreachable","No Service is operating at the destination network endpoint on the remote system."
"00001389","5001","-4294962295","ERROR_DEPENDENT_RESOURCE_EXISTS","The operation cannot be completed because other resources are dependent on this resource."
"0000138A","5002","-4294962294","ERROR_DEPENDENCY_NOT_FOUND","The cluster resource dependency cannot be found."
"0000138B","5003","-4294962293","ERROR_DEPENDENCY_ALREADY_EXISTS","The cluster resource cannot be made dependent on the specified resource because it is already dependent."
"0000138C","5004","-4294962292","ERROR_RESOURCE_NOT_ONLINE","The cluster resource is not online."
"0000138D","5005","-4294962291","ERROR_HOST_NODE_NOT_AVAILABLE","A cluster node is not available for this operation."
"0000138E","5006","-4294962290","ERROR_RESOURCE_NOT_AVAILABLE","The cluster resource is not available."
"0000138F","5007","-4294962289","ERROR_RESOURCE_NOT_FOUND","The cluster resource could not be found."
"00001390","5008","-4294962288","ERROR_SHUTDOWN_CLUSTER","The cluster is being shut down."
"00001391","5009","-4294962287","ERROR_CANT_EVICT_ACTIVE_NODE","A cluster node cannot be evicted from the cluster while it is online."
"00001392","5010","-4294962286","ERROR_OBJECT_ALREADY_EXISTS","The object already exists."
"00001393","5011","-4294962285","ERROR_OBJECT_IN_LIST","The object is already in the list."
"00001394","5012","-4294962284","ERROR_GROUP_NOT_AVAILABLE","The cluster group is not available for any new requests."
"00001395","5013","-4294962283","ERROR_GROUP_NOT_FOUND","The cluster group could not be found."
"00001396","5014","-4294962282","ERROR_GROUP_NOT_ONLINE","The operation could not be completed because the cluster group is not online."
"00001397","5015","-4294962281","ERROR_HOST_NODE_NOT_RESOURCE_OWNER","The operation failed because either the specified cluster node is not the owner of the resource - or the node is not a possible owner of the resource."
"00001398","5016","-4294962280","ERROR_HOST_NODE_NOT_GROUP_OWNER","The operation failed because either the specified cluster node is not the owner of the group - or the node is not a possible owner of the group."
"00001399","5017","-4294962279","ERROR_RESMON_CREATE_FAILED","The cluster resource could not be created in the specified resource monitor."
"0000139A","5018","-4294962278","ERROR_RESMON_ONLINE_FAILED","The cluster resource could not be brought online by the resource monitor."
"0000139B","5019","-4294962277","ERROR_RESOURCE_ONLINE","The operation could not be completed because the cluster resource is online."
"0000139C","5020","-4294962276","ERROR_QUORUM_RESOURCE","The cluster resource could not be deleted or brought offline because it is the quorum resource."
"0000139D","5021","-4294962275","ERROR_NOT_QUORUM_CAPABLE","The cluster could not make the specified resource a quorum resource because it is not capable of being a quorum resource."
"0000139E","5022","-4294962274","ERROR_CLUSTER_SHUTTING_DOWN","The cluster software is shutting down."
"0000139F","5023","-4294962273","ERROR_INVALID_STATE","The group or resource is not in the correct state to perform the requested operation."
"000013A0","5024","-4294962272","ERROR_RESOURCE_PROPERTIES_STORED","The properties were stored but not all changes will take effect until the next time the resource is brought online."
"000013A1","5025","-4294962271","ERROR_NOT_QUORUM_CLASS","The cluster could not make the specified resource a quorum resource because it does not belong to a shared storage class."
"000013A2","5026","-4294962270","ERROR_CORE_RESOURCE","The cluster resource could not be deleted since it is a core resource."
"000013A3","5027","-4294962269","ERROR_QUORUM_RESOURCE_ONLINE_FAILED","The quorum resource failed to come online."
"000013A4","5028","-4294962268","ERROR_QUORUMLOG_OPEN_FAILED","The quorum log could not be created or mounted successfully."
"000013A5","5029","-4294962267","ERROR_CLUSTERLOG_CORRUPT","The cluster log is corrupt."
"000013A6","5030","-4294962266","ERROR_CLUSTERLOG_RECORD_EXCEEDS_MAXSIZE","The record could not be written to the cluster log since it exceeds the maximum size."
"000013A7","5031","-4294962265","ERROR_CLUSTERLOG_EXCEEDS_MAXSIZE","The cluster log exceeds its maximum size."
"000013A8","5032","-4294962264","ERROR_CLUSTERLOG_CHKPOINT_NOT_FOUND","No checkpoint record was found in the cluster log."
"000013A9","5033","-4294962263","ERROR_CLUSTERLOG_NOT_ENOUGH_SPACE","The minimum required disk space needed for logging is not available."
"000013AA","5034","-4294962262","ERROR_QUORUM_OWNER_ALIVE","The cluster node failed to take control of the quorum resource because the resource is owned by another active node."
"000013AB","5035","-4294962261","ERROR_NETWORK_NOT_AVAILABLE","A cluster network is not available for this operation."
"000013AC","5036","-4294962260","ERROR_NODE_NOT_AVAILABLE","A cluster node is not available for this operation."
"000013AD","5037","-4294962259","ERROR_ALL_NODES_NOT_AVAILABLE","All cluster nodes must be running to perform this operation."
"000013AE","5038","-4294962258","ERROR_RESOURCE_FAILED","A cluster resource failed."
"000013AF","5039","-4294962257","ERROR_CLUSTER_INVALID_NODE","The cluster node is not valid."
"000013B0","5040","-4294962256","ERROR_CLUSTER_NODE_EXISTS","The cluster node already exists."
"000013B1","5041","-4294962255","ERROR_CLUSTER_JOIN_IN_PROGRESS","A node is in the process of joining the cluster."
"000013B2","5042","-4294962254","ERROR_CLUSTER_NODE_NOT_FOUND","The cluster node was not found."
"000013B3","5043","-4294962253","ERROR_CLUSTER_LOCAL_NODE_NOT_FOUND","The cluster local node information was not found."
"000013B4","5044","-4294962252","ERROR_CLUSTER_NETWORK_EXISTS","The cluster network already exists."
"000013B5","5045","-4294962251","ERROR_CLUSTER_NETWORK_NOT_FOUND","The cluster network was not found."
"000013B6","5046","-4294962250","ERROR_CLUSTER_NETINTERFACE_EXISTS","The cluster network interface already exists."
"000013B7","5047","-4294962249","ERROR_CLUSTER_NETINTERFACE_NOT_FOUND","The cluster network interface was not found."
"000013B8","5048","-4294962248","ERROR_CLUSTER_INVALID_REQUEST","The cluster request is not valid for this object."
"000013B9","5049","-4294962247","ERROR_CLUSTER_INVALID_NETWORK_PROVIDER","The cluster network provider is not valid."
"000013BA","5050","-4294962246","ERROR_CLUSTER_NODE_DOWN","The cluster node is down."
"000013BB","5051","-4294962245","ERROR_CLUSTER_NODE_UNREACHABLE","The cluster node is not reachable."
"000013BC","5052","-4294962244","ERROR_CLUSTER_NODE_NOT_MEMBER","The cluster node is not a member of the cluster."
"000013BD","5053","-4294962243","ERROR_CLUSTER_JOIN_NOT_IN_PROGRESS","A cluster join operation is not in progress."
"000013BE","5054","-4294962242","ERROR_CLUSTER_INVALID_NETWORK","The cluster network is not valid."
"000013C0","5056","-4294962240","ERROR_CLUSTER_NODE_UP","The cluster node is up."
"000013C1","5057","-4294962239","ERROR_CLUSTER_IPADDR_IN_USE","The cluster IP address is already in use."
"000013C2","5058","-4294962238","ERROR_CLUSTER_NODE_NOT_PAUSED","The cluster node is not paused."
"000013C3","5059","-4294962237","ERROR_CLUSTER_NO_SECURITY_CONTEXT","No cluster security context is available."
"000013C4","5060","-4294962236","ERROR_CLUSTER_NETWORK_NOT_INTERNAL","The cluster network is not configured for internal cluster communication."
"000013C5","5061","-4294962235","ERROR_CLUSTER_NODE_ALREADY_UP","The cluster node is already up."
"000013C6","5062","-4294962234","ERROR_CLUSTER_NODE_ALREADY_DOWN","The cluster node is already down."
"000013C7","5063","-4294962233","ERROR_CLUSTER_NETWORK_ALREADY_ONLINE","The cluster network is already online."
"000013C8","5064","-4294962232","ERROR_CLUSTER_NETWORK_ALREADY_OFFLINE","The cluster network is already offline."
"000013C9","5065","-4294962231","ERROR_CLUSTER_NODE_ALREADY_MEMBER","The cluster node is already a member of the cluster."
"000013CA","5066","-4294962230","ERROR_CLUSTER_LAST_INTERNAL_NETWORK","The cluster network is the only one configured for internal cluster communication between two or more active cluster nodes. The internal communication capability cannot be removed from the network."
"000013CB","5067","-4294962229","ERROR_CLUSTER_NETWORK_HAS_DEPENDENTS","One or more cluster resources depend on the network to provide service to clients. The client access capability cannot be removed from the network."
"000013CC","5068","-4294962228","ERROR_INVALID_OPERATION_ON_QUORUM","This operation cannot be performed on the cluster resource as it the quorum resource. You may not bring the quorum resource offline or modify its possible owners list."
"000013CD","5069","-4294962227","ERROR_DEPENDENCY_NOT_ALLOWED","The cluster quorum resource is not allowed to have any dependencies."
"000013CE","5070","-4294962226","ERROR_CLUSTER_NODE_PAUSED","The cluster node is paused."
"000013CF","5071","-4294962225","ERROR_NODE_CANT_HOST_RESOURCE","The cluster resource cannot be brought online. The owner node cannot run this resource."
"000013D0","5072","-4294962224","ERROR_CLUSTER_NODE_NOT_READY","The cluster node is not ready to perform the requested operation."
"000013D1","5073","-4294962223","ERROR_CLUSTER_NODE_SHUTTING_DOWN","The cluster node is shutting down."
"000013D2","5074","-4294962222","ERROR_CLUSTER_JOIN_ABORTED","The cluster join operation was aborted."
"000013D3","5075","-4294962221","ERROR_CLUSTER_INCOMPATIBLE_VERSIONS","The cluster join operation failed due to incompatible software versions between the joining node and its sponsor."
"000013D4","5076","-4294962220","ERROR_CLUSTER_MAXNUM_OF_RESOURCES_EXCEEDED","This resource cannot be created because the cluster has reached the limit on the number of resources it can monitor."
"000013D5","5077","-4294962219","ERROR_CLUSTER_SYSTEM_CONFIG_CHANGED","The system configuration changed during the cluster join or form operation. The join or form operation was aborted."
"000013D6","5078","-4294962218","ERROR_CLUSTER_RESOURCE_TYPE_NOT_FOUND","The specified resource type was not found."
"000013D7","5079","-4294962217","ERROR_CLUSTER_RESTYPE_NOT_SUPPORTED","The specified node does not support a resource of this type. This may be due to version inconsistencies or due to the absence of the resource DLL on this node."
"000013D8","5080","-4294962216","ERROR_CLUSTER_RESNAME_NOT_FOUND","The specified resource name is not supported by this resource DLL. This may be due to a bad."
"000013D9","5081","-4294962215","ERROR_CLUSTER_NO_RPC_PACKAGES_REGISTERED","No authentication package could be registered with the RPC server."
"000013DA","5082","-4294962214","ERROR_CLUSTER_OWNER_NOT_IN_PREFLIST","You cannot bring the group online because the owner of the group is not in the preferred list for the group. To change the owner node for the group - move the group."
"000013DB","5083","-4294962213","ERROR_CLUSTER_DATABASE_SEQMISMATCH","The join operation failed because the cluster database sequence number has changed or is incompatible with the locker node. This may happen during a join operation if the cluster database was changing during the join."
"000013DC","5084","-4294962212","ERROR_RESMON_INVALID_STATE","The resource monitor will not allow the fail operation to be performed while the resource is in its current state. This may happen if the resource is in a pending state."
"000013DD","5085","-4294962211","ERROR_CLUSTER_GUM_NOT_LOCKER","A non locker code got a request to reserve the lock for making global updates."
"000013DE","5086","-4294962210","ERROR_QUORUM_DISK_NOT_FOUND","The quorum disk could not be located by the cluster service."
"000013DF","5087","-4294962209","ERROR_DATABASE_BACKUP_CORRUPT","The backed up cluster database is possibly corrupt."
"000013E0","5088","-4294962208","ERROR_CLUSTER_NODE_ALREADY_HAS_DFS_ROOT","A DFS root already exists in this cluster node."
"000013E1","5089","-4294962207","ERROR_RESOURCE_PROPERTY_UNCHANGEABLE","An attempt to modify a resource property failed because it conflicts with another existing property."
"000013EC","5100","-4294962196","","The file chosen for export already exists, and the user does not wish to overwrite it."
"00001449","5193","-4294962103","Error_Invalid_Showwin_Command","Cannot show or remove the window in the way specified."
"00001633","5683","-4294961613","NULL",""
"000016A9","5801","-4294961495","","Cannot orient images in folder x."
"000016AA","5802","-4294961494","","Please mount volume x."
"000016DA","5850","-4294961446","","Orient images failed, n page(s)."
"000016DB","5851","-4294961445","","Internal security error #n. Call Technical Support."
"000016DC","5852","-4294961444","","One or more errors occurred during migration."
"00001702","5890","-4294961406","ERROR_CLUSTER_MEMBERSHIP_INVALID_STATE","An operation was attempted that is incompatible with the current membership state of the node."
"00001703","5891","-4294961405","ERROR_CLUSTER_QUORUMLOG_NOT_FOUND","The quorum resource does not contain the quorum log."
"00001704","5892","-4294961404","ERROR_CLUSTER_MEMBERSHIP_HALT","The membership engine requested shutdown of the cluster service on this node."
"00001705","5893","-4294961403","ERROR_CLUSTER_INSTANCE_ID_MISMATCH","The join operation failed because the cluster instance ID of the joining node does not match the cluster instance ID of the sponsor node."
"00001706","5894","-4294961402","ERROR_CLUSTER_NETWORK_NOT_FOUND_FOR_IP","A matching cluster network for the specified IP address could not be found."
"00001707","5895","-4294961401","ERROR_CLUSTER_PROPERTY_DATA_TYPE_MISMATCH","The actual data type of the property did not match the expected data type of the property."
"00001708","5896","-4294961400","ERROR_CLUSTER_EVICT_WITHOUT_CLEANUP","The cluster node was evicted from the cluster successfully - but the node was not cleaned up. To determine what cleanup steps failed and how to recover - see the Failover Clustering application event log using Event Viewer."
"00001709","5897","-4294961399","ERROR_CLUSTER_PARAMETER_MISMATCH","Two or more parameter values specified for a resource's properties are in conflict."
"0000170A","5898","-4294961398","ERROR_NODE_CANNOT_BE_CLUSTERED","This computer cannot be made a member of a cluster."
"0000170B","5899","-4294961397","ERROR_CLUSTER_WRONG_OS_VERSION","This computer cannot be made a member of a cluster because it does not have the correct version of Windows installed."
"0000170C","5900","-4294961396","ERROR_CLUSTER_CANT_CREATE_DUP_CLUSTER_NAME","A cluster cannot be created with the specified cluster name because that cluster name is already in use. Specify a different name for the cluster."
"0000170D","5901","-4294961395","ERROR_CLUSCFG_ALREADY_COMMITTED","The cluster configuration action has already been committed."
"0000170E","5902","-4294961394","ERROR_CLUSCFG_ROLLBACK_FAILED","The cluster configuration action could not be rolled back."
"0000170F","5903","-4294961393","ERROR_CLUSCFG_SYSTEM_DISK_DRIVE_LETTER_CONFLICT","The drive letter assigned to a system disk on one node conflicted with the drive letter assigned to a disk on another node."
"00001710","5904","-4294961392","ERROR_CLUSTER_OLD_VERSION","One or more nodes in the cluster are running a version of Windows that does not support this operation."
"00001711","5905","-4294961391","ERROR_CLUSTER_MISMATCHED_COMPUTER_ACCT_NAME","The name of the corresponding computer account doesn't match the Network Name for this resource."
"00001712","5906","-4294961390","ERROR_CLUSTER_NO_NET_ADAPTERS","No network adapters are available."
"00001713","5907","-4294961389","ERROR_CLUSTER_POISONED","The cluster node has been poisoned."
"00001714","5908","-4294961388","ERROR_CLUSTER_GROUP_MOVING","The group is unable to accept the request since it is moving to another node."
"00001715","5909","-4294961387","ERROR_CLUSTER_RESOURCE_TYPE_BUSY","The resource type cannot accept the request since is too busy performing another operation."
"00001716","5910","-4294961386","ERROR_RESOURCE_CALL_TIMED_OUT","The call to the cluster resource DLL timed out."
"00001717","5911","-4294961385","ERROR_INVALID_CLUSTER_IPV6_ADDRESS","The address is not valid for an IPv6 Address resource. A global IPv6 address is required - and it must match a cluster network. Compatibility addresses are not permitted."
"00001718","5912","-4294961384","ERROR_CLUSTER_INTERNAL_INVALID_FUNCTION","An internal cluster error occurred. A call to an invalid function was attempted."
"00001719","5913","-4294961383","ERROR_CLUSTER_PARAMETER_OUT_OF_BOUNDS","A parameter value is out of acceptable range."
"0000171A","5914","-4294961382","ERROR_CLUSTER_PARTIAL_SEND","A network error occurred while sending data to another node in the cluster. The number of bytes transmitted was less than required."
"0000171B","5915","-4294961381","ERROR_CLUSTER_REGISTRY_INVALID_FUNCTION","An invalid cluster registry operation was attempted."
"0000171C","5916","-4294961380","ERROR_CLUSTER_INVALID_STRING_TERMINATION","An input string of characters is not properly terminated."
"0000171D","5917","-4294961379","ERROR_CLUSTER_INVALID_STRING_FORMAT","An input string of characters is not in a valid format for the data it represents."
"0000171E","5918","-4294961378","ERROR_CLUSTER_DATABASE_TRANSACTION_IN_PROGRESS","An internal cluster error occurred. A cluster database transaction was attempted while a transaction was already in progress."
"0000171F","5919","-4294961377","ERROR_CLUSTER_DATABASE_TRANSACTION_NOT_IN_PROGRESS","An internal cluster error occurred. There was an attempt to commit a cluster database transaction while no transaction was in progress."
"00001720","5920","-4294961376","ERROR_CLUSTER_NULL_DATA","An internal cluster error occurred. Data was not properly initialized."
"00001721","5921","-4294961375","ERROR_CLUSTER_PARTIAL_READ","An error occurred while reading from a stream of data. An unexpected number of bytes was returned."
"00001722","5922","-4294961374","ERROR_CLUSTER_PARTIAL_WRITE","An error occurred while writing to a stream of data. The required number of bytes could not be written."
"00001723","5923","-4294961373","ERROR_CLUSTER_CANT_DESERIALIZE_DATA","An error occurred while deserializing a stream of cluster data."
"00001724","5924","-4294961372","ERROR_DEPENDENT_RESOURCE_PROPERTY_CONFLICT","One or more property values for this resource are in conflict with one or more property values associated with its dependent resource(s)."
"00001725","5925","-4294961371","ERROR_CLUSTER_NO_QUORUM","A quorum of cluster nodes was not present to form a cluster."
"00001726","5926","-4294961370","ERROR_CLUSTER_INVALID_IPV6_NETWORK","The cluster network is not valid for an IPv6 Address resource - or it does not match the configured address."
"00001727","5927","-4294961369","ERROR_CLUSTER_INVALID_IPV6_TUNNEL_NETWORK","The cluster network is not valid for an IPv6 Tunnel resource. Check the configuration of the IP Address resource on which the IPv6 Tunnel resource depends."
"00001728","5928","-4294961368","ERROR_QUORUM_NOT_ALLOWED_IN_THIS_GROUP","Quorum resource cannot reside in the Available Storage group."
"00001729","5929","-4294961367","ERROR_DEPENDENCY_TREE_TOO_COMPLEX","The dependencies for this resource are nested too deeply."
"0000172A","5930","-4294961366","ERROR_EXCEPTION_IN_RESOURCE_CALL","The call into the resource DLL raised an unhandled exception."
"0000172B","5931","-4294961365","ERROR_CLUSTER_RHS_FAILED_INITIALIZATION","The RHS process failed to initialize."
"0000172C","5932","-4294961364","ERROR_CLUSTER_NOT_INSTALLED","The Failover Clustering feature is not installed on this node."
"0000172D","5933","-4294961363","ERROR_CLUSTER_RESOURCES_MUST_BE_ONLINE_ON_THE_SAME_NODE","The resources must be online on the same node for this operation."
"0000172E","5934","-4294961362","ERROR_CLUSTER_MAX_NODES_IN_CLUSTER","A new node cannot be added since this cluster is already at its maximum number of nodes."
"0000172F","5935","-4294961361","ERROR_CLUSTER_TOO_MANY_NODES","This cluster cannot be created since the specified number of nodes exceeds the maximum allowed limit."
"00001730","5936","-4294961360","ERROR_CLUSTER_OBJECT_ALREADY_USED","An attempt to use the specified cluster name failed because an enabled computer object with the given name already exists in the domain."
"00001731","5937","-4294961359","ERROR_NONCORE_GROUPS_FOUND","This cluster cannot be destroyed. It has non-core application groups which must be deleted before the cluster can be destroyed."
"00001732","5938","-4294961358","ERROR_FILE_SHARE_RESOURCE_CONFLICT","File share associated with file share witness resource cannot be hosted by this cluster or any of its nodes."
"00001733","5939","-4294961357","ERROR_CLUSTER_EVICT_INVALID_REQUEST","Eviction of this node is invalid at this time. Due to quorum requirements node eviction will result in cluster shutdown. If it is the last node in the cluster - destroy cluster command should be used."
"00001734","5940","-4294961356","ERROR_CLUSTER_SINGLETON_RESOURCE","Only one instance of this resource type is allowed in the cluster."
"00001735","5941","-4294961355","ERROR_CLUSTER_GROUP_SINGLETON_RESOURCE","Only one instance of this resource type is allowed per resource group."
"00001736","5942","-4294961354","ERROR_CLUSTER_RESOURCE_PROVIDER_FAILED","The resource failed to come online due to the failure of one or more provider resources."
"00001737","5943","-4294961353","ERROR_CLUSTER_RESOURCE_CONFIGURATION_ERROR","The resource has indicated that it cannot come online on any node."
"00001738","5944","-4294961352","ERROR_CLUSTER_GROUP_BUSY","The current operation cannot be performed on this group at this time."
"00001739","5945","-4294961351","ERROR_CLUSTER_NOT_SHARED_VOLUME","The directory or file is not located on a cluster shared volume."
"0000173A","5946","-4294961350","ERROR_CLUSTER_INVALID_SECURITY_DESCRIPTOR","The Security Descriptor does not meet the requirements for a cluster."
"0000173B","5947","-4294961349","ERROR_CLUSTER_SHARED_VOLUMES_IN_USE","There is one or more shared volumes resources configured in the cluster. Those resources must be moved to available storage in order for operation to succeed."
"0000173C","5948","-4294961348","ERROR_CLUSTER_USE_SHARED_VOLUMES_API","This group or resource cannot be directly manipulated. Use shared volume APIs to perform desired operation."
"0000173D","5949","-4294961347","ERROR_CLUSTER_BACKUP_IN_PROGRESS","Back up is in progress. Please wait for backup completion before trying this operation again."
"0000173E","5950","-4294961346","ERROR_NON_CSV_PATH","The path does not belong to a cluster shared volume."
"0000173F","5951","-4294961345","ERROR_CSV_VOLUME_NOT_LOCAL","The cluster shared volume is not locally mounted on this node."
"00001740","5952","-4294961344","ERROR_CLUSTER_WATCHDOG_TERMINATING","The cluster watchdog is terminating."
"00001741","5953","-4294961343","ERROR_CLUSTER_RESOURCE_VETOED_MOVE_INCOMPATIBLE_NODES","A resource vetoed a move between two nodes because they are incompatible."
"00001742","5954","-4294961342","ERROR_CLUSTER_INVALID_NODE_WEIGHT","The request is invalid either because node weight cannot be changed while the cluster is in disk-only quorum mode - or because changing the node weight would violate the minimum cluster quorum requirements."
"00001743","5955","-4294961341","ERROR_CLUSTER_RESOURCE_VETOED_CALL","The resource vetoed the call."
"00001744","5956","-4294961340","ERROR_RESMON_SYSTEM_RESOURCES_LACKING","Resource could not start or run because it could not reserve sufficient system resources."
"00001745","5957","-4294961339","ERROR_CLUSTER_RESOURCE_VETOED_MOVE_NOT_ENOUGH_RESOURCES_ON_DESTINATION","A resource vetoed a move between two nodes because the destination currently does not have enough resources to complete the operation."
"00001746","5958","-4294961338","ERROR_CLUSTER_RESOURCE_VETOED_MOVE_NOT_ENOUGH_RESOURCES_ON_SOURCE","A resource vetoed a move between two nodes because the source currently does not have enough resources to complete the operation."
"00001747","5959","-4294961337","ERROR_CLUSTER_GROUP_QUEUED","The requested operation cannot be completed because the group is queued for an operation."
"00001748","5960","-4294961336","ERROR_CLUSTER_RESOURCE_LOCKED_STATUS","The requested operation cannot be completed because a resource has locked status."
"00001749","5961","-4294961335","ERROR_CLUSTER_SHARED_VOLUME_FAILOVER_NOT_ALLOWED","The resource cannot move to another node because a cluster shared volume vetoed the operation."
